name,logo_url,zoho_account_id,domain,additional_verified_domains,training_fund_balance,program_ticket_balances,purchase_order_enabled,contacts_synced_at,last_synced,id,created_date,updated_date,created_by_id,created_by,is_sample
Abertay University,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/85022c868_xboxDTF.png,883813000001519844,,"[]",0,"{}",false,2025-10-27T12:10:45.107Z,2025-11-25T21:34:08.151Z,68efcf67f477e62025645c0f,2025-10-15T16:44:23.433000,2025-11-25T21:34:08.392000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Liverpool,,883813000001534194,,"[]",0,"{}",false,2025-10-17T08:23:35.967Z,2025-11-25T11:46:07.396Z,68f0e693144f338791c7701f,2025-10-16T12:35:31.597000,2025-11-25T11:46:07.539000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
AGCAS,,883813000001905029,,"[]",0,"{""Unpacked Series"":4}",false,2025-11-11T16:19:39.160Z,2025-11-25T14:47:56.486Z,68f7999461e69321254e1f13,2025-10-21T14:32:52.001000,2025-11-25T14:47:56.620000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Regent's University London,,883813000001556111,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-17T16:41:32.822Z,2025-11-24T21:00:09.895Z,68fa06e969a8eddd1778a8d2,2025-10-23T10:43:53.402000,2025-11-24T21:00:10.017000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University College Cork,,883813000001556121,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-24T11:50:12.138Z,2025-11-24T11:50:12.193Z,68fb74b6c846f5b5ed9f2e37,2025-10-24T12:44:38.645000,2025-11-24T11:50:12.381000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Dublin City University,,883813000001553111,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T15:24:28.946Z,2025-11-25T09:47:08.516Z,68fbc965d258c6033236e066,2025-10-24T18:45:57.661000,2025-11-25T09:47:08.636000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Bangor University,,883813000001554116,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-21T15:06:03.437Z,2025-11-21T15:07:05.058Z,68fdfee2ef1a4a7ea640438b,2025-10-26T10:58:42.171000,2025-11-21T15:07:05.175000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Limerick,,883813000001543153,,"[]",0,"{}",false,,2025-10-26T19:53:02.429Z,68fe7c1e844dd96fa758a3ef,2025-10-26T19:53:02.559000,2025-10-26T19:53:02.559000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Leeds Trinity University,,883813000001545190,,"[]",0,"{}",false,,2025-10-26T21:01:48.447Z,68fe8c3cf630e2d29773a77f,2025-10-26T21:01:48.588000,2025-10-26T21:01:48.588000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Birmingham,,883813000001529463,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T08:09:36.254Z,2025-11-05T08:09:49.852Z,68ff61be95d15c3d6417e653,2025-10-27T12:12:46.715000,2025-11-05T08:09:49.980000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
"City St George’s, University of London",,883813000001547073,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-25T13:33:06.306Z,2025-11-25T13:33:31.714Z,68ffa6359285f633efb08e33,2025-10-27T17:04:53.283000,2025-11-25T13:33:31.853000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Robert Gordon University,,883813000001556116,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-25T11:52:51.139Z,2025-11-25T19:01:42.144Z,69008db89be6a405195f6a4b,2025-10-28T09:32:40.669000,2025-11-25T19:01:42.272000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
King's College London,,883813000001545178,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-07T09:21:40.812Z,2025-11-10T07:44:12.930Z,6900900cbe91f9abae9f53d5,2025-10-28T09:42:36.748000,2025-11-10T07:44:13.105000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Leeds Beckett University,,883813000001538153,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T17:59:04.683Z,2025-11-25T17:00:13.552Z,6900b967ce66bafaf042d9fe,2025-10-28T12:39:03.788000,2025-11-25T17:00:13.696000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University College Birmingham,,883813000001550142,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T13:11:31.970Z,2025-11-05T13:12:03.544Z,6900d2b091cfd4b89e92583b,2025-10-28T14:26:56.292000,2025-11-05T13:12:03.655000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Strathclyde,,883813000001523167,,"[]",0,"{""Unpacked Series"":0}",false,2025-10-31T15:08:03.247Z,2025-10-31T15:08:26.074Z,6900f193dd15b7fce5b8f72b,2025-10-28T16:38:43.540000,2025-10-31T15:08:26.198000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Leicester,,883813000001518143,,"[]",0,"{""Unpacked Series"":0}",false,2025-10-29T17:17:41.293Z,2025-10-29T17:18:03.327Z,69022fca1b0d1c5e95406811,2025-10-29T15:16:26.738000,2025-10-29T17:18:03.527000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of the West of Scotland,,883813000001519854,,"[]",0,"{""Unpacked Series"":0}",false,2025-10-31T11:54:50.106Z,2025-10-31T11:55:11.709Z,69024486199072f7a69b003b,2025-10-29T16:44:54.950000,2025-10-31T11:55:11.904000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Aberdeen,,883813000001539120,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-04T13:21:33.676Z,2025-11-04T13:17:36.228Z,69036efc302cdc416307925e,2025-10-30T13:58:20.315000,2025-11-04T13:21:33.808000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Imperial College London,,883813000001497153,,"[]",0,"{""Unpacked Series"":0}",false,2025-10-30T14:16:52.739Z,2025-10-30T14:17:22.129Z,690372b08d9b3181067ea09e,2025-10-30T14:14:08.224000,2025-10-30T14:17:22.350000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Reading,,883813000001532194,,"[]",0,"{""Unpacked Series"":0}",false,2025-10-31T12:54:20.329Z,2025-11-14T14:55:04.110Z,69037a87cd5cbbf248b7587f,2025-10-30T14:47:35.577000,2025-11-14T14:55:04.304000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Surrey,,883813000001527184,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-25T10:07:32.584Z,2025-11-25T10:07:38.953Z,69037a8af2d4be7b7e6a1a51,2025-10-30T14:47:38.167000,2025-11-25T10:07:39.072000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
UCL,,883813000001501214,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-14T10:30:41.256Z,2025-11-20T10:26:20.356Z,6903873229ba1205197ac816,2025-10-30T15:41:38.726000,2025-11-20T10:26:20.538000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Northumbria University,,883813000001552217,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-11T14:29:00.862Z,2025-11-11T14:29:18.424Z,69048038d6fb602c297981cc,2025-10-31T09:24:08.407000,2025-11-11T14:29:18.531000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Westminster,,883813000001490209,,"[]",0,"{""Unpacked Series"":0}",false,2025-10-31T13:30:08.378Z,2025-11-05T11:54:02.580Z,6904b83bebfb365f882cd50c,2025-10-31T13:23:07.102000,2025-11-05T11:54:02.705000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Newcastle University,,883813000001518131,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T10:44:38.935Z,2025-11-05T10:45:04.768Z,6904bdc13538bdc118f4086c,2025-10-31T13:46:41.294000,2025-11-05T10:45:04.944000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Glasgow,,883813000001490199,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T08:08:28.972Z,2025-11-15T07:11:43.903Z,6908dcd7fa42d5ec28e678e1,2025-11-03T16:48:23.717000,2025-11-15T07:11:44.134000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
"University of the West of England, Bristol",,883813000001520209,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-04T16:01:03.438Z,2025-11-04T16:01:13.702Z,690a1caf375d3780a5a611df,2025-11-04T15:33:03.441000,2025-11-04T16:01:13.852000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Lancaster University,,883813000001534158,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T13:29:02.745Z,2025-11-05T13:29:12.702Z,690b4f946a9cb22b64b337cc,2025-11-05T13:22:28.308000,2025-11-05T13:29:12.875000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Exeter,,883813000001497189,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T13:33:08.294Z,2025-11-05T13:33:18.545Z,690b5192bd603613dcbe462a,2025-11-05T13:30:58.700000,2025-11-05T13:33:18.658000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
