setting_key,setting_value,description,id,created_date,updated_date,created_by_id,created_by,is_sample
global_border_radius,0px,"Global border radius for cards, buttons, and inputs",6917346e3ea39605add9e289,2025-11-14T13:53:50.766000,2025-11-14T13:53:50.766000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
member_directory_display,"{""show_events"":false,""show_articles"":false,""show_organization"":true,""show_job_title"":true,""show_linkedin"":true,""show_awards"":false,""show_profile_photo"":true}",Controls which fields are displayed on Member Directory cards,691b838db76cbd5223c2ea35,2025-11-17T20:20:29.940000,2025-11-20T22:20:51.027000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
member_directory_display,"{""show_events"":false,""show_articles"":false,""show_organization"":true,""show_job_title"":true,""show_linkedin"":true,""show_awards"":true}",Controls which fields are displayed on Member Directory cards,691b846843884d2971f190fd,2025-11-17T20:24:08.758000,2025-11-17T20:24:08.758000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
member_directory_display,"{""show_events"":true,""show_articles"":true,""show_organization"":true,""show_job_title"":true,""show_linkedin"":true,""show_awards"":true}",Controls which fields are displayed on Member Directory cards,691b96e47dbbbce1d2a135a0,2025-11-17T21:43:00.596000,2025-11-17T21:43:00.596000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
news_ticker_count,5,Number of news articles to display in ticker,691c6a0a0d73829fcc05c32a,2025-11-18T12:43:54.936000,2025-11-25T18:34:10.190000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
news_ticker_cycle_seconds,3,Seconds between news ticker transitions,691c6a0a4ed027098df70413,2025-11-18T12:43:54.975000,2025-11-25T18:34:10.653000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
news_ticker_enabled,true,Whether the news ticker is enabled,691c6cd24ed027098df70656,2025-11-18T12:55:46.528000,2025-11-25T18:34:10.195000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_view_count,false,Show view count on article pages,691f7f2bf62e738a17a25d8e,2025-11-20T20:50:51.587000,2025-11-20T21:27:53.713000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_author_bio,false,Show author bio on article pages,691f7f2b93ffe9aa3f6cf936,2025-11-20T20:50:51.864000,2025-11-20T21:27:54.444000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_view_count,false,Show view count on article pages,691f7fae03d27c708771b139,2025-11-20T20:53:02.904000,2025-11-20T20:53:02.904000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_author_bio,false,Show author bio on article pages,691f7faf79ccb3d1228bbd9c,2025-11-20T20:53:03.232000,2025-11-20T20:53:03.232000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_author_section,true,"Show ""About the Author"" section on article pages",691f7fafa7b38006fede02d5,2025-11-20T20:53:03.494000,2025-11-20T20:54:06.625000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_awards,true,Show awards in author section on article pages,691f7fb078b56a1f1e8122fd,2025-11-20T20:53:04.407000,2025-11-20T20:54:07.253000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_view_count,false,Show view count on article pages,691f80229784e4e60af28e2f,2025-11-20T20:54:58.796000,2025-11-20T20:54:58.796000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_author_bio,false,Show author bio on article pages,691f802397d5cb9f16e95ea9,2025-11-20T20:54:59.201000,2025-11-20T20:54:59.201000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_awards_label,false,Show awards label in author bio,691f80b0ba64566263ed0f30,2025-11-20T20:57:20.201000,2025-11-20T21:27:54.765000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_about_author_label,false,Show about the author label in author bio,691f80b0f1e8fcf4e7d81b48,2025-11-20T20:57:20.460000,2025-11-20T21:27:55.020000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_author_organization,true,Show author organization in author bio,691f831a34f9104f4dc3b383,2025-11-20T21:07:38.117000,2025-11-20T21:27:55.645000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
