title,url,link_type,location,parent_id,display_order,is_active,open_in_new_tab,icon,description,highlight_style,id,created_date,updated_date,created_by_id,created_by,is_sample
Sector Jobs,JobBoard,internal,main_nav,,4,true,false,,,none,691427a2f0209cd928e25901,2025-11-12T06:22:26.674000,2025-11-24T05:54:50.020000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Resources,PublicResources,internal,main_nav,,3,true,false,,,none,691427a2f0209cd928e258fe,2025-11-12T06:22:26.674000,2025-11-24T05:54:49.681000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
About Us,PublicAbout,internal,main_nav,,0,true,false,,,none,691427a2f0209cd928e258ff,2025-11-12T06:22:26.674000,2025-11-24T05:54:48.355000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Learn & Connect,PublicEvents,internal,main_nav,,2,true,false,,,none,691427a2f0209cd928e258fd,2025-11-12T06:22:26.674000,2025-11-24T05:54:48.848000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Membership,testpage,internal,main_nav,,1,true,false,,,none,6921ea61080d15e48acc6a11,2025-11-22T16:52:49.642000,2025-11-24T05:54:48.594000,anonymous,anonymous,false
Purpose,testpage,internal,main_nav,691427a2f0209cd928e258ff,6,true,false,,,none,6921ea814299f67bb9c1e840,2025-11-22T16:53:21.081000,2025-11-22T16:53:21.081000,anonymous,anonymous,false
People,sharon,internal,main_nav,691427a2f0209cd928e258ff,7,true,false,,,none,6921ea901eb26f0666d941a1,2025-11-22T16:53:36.160000,2025-11-25T11:28:50.527000,anonymous,anonymous,false
Task Groups,testpage,internal,main_nav,691427a2f0209cd928e258ff,8,true,false,,,none,6921ed16fb66bef304897754,2025-11-22T17:04:22.450000,2025-11-22T17:04:22.450000,anonymous,anonymous,false
Partners,testpage,internal,main_nav,691427a2f0209cd928e258ff,8,true,false,,,none,6921ed20ca4b81886d67c8d3,2025-11-22T17:04:32.573000,2025-11-22T17:04:32.573000,anonymous,anonymous,false
Governance,testpage,internal,main_nav,691427a2f0209cd928e258ff,8,true,false,,,none,6921ed2bd50ca906d78691e5,2025-11-22T17:04:43.445000,2025-11-22T17:04:43.445000,anonymous,anonymous,false
News,PublicNews,internal,main_nav,,5,true,false,,,none,6921eda6e3a3a5b4a86270f3,2025-11-22T17:06:46.008000,2025-11-24T10:15:26.021000,anonymous,anonymous,false
Blog,PublicArticles,internal,main_nav,,6,true,false,,,none,6921edb79cd79395b142d500,2025-11-22T17:07:03.707000,2025-11-25T11:23:14.719000,anonymous,anonymous,false
Contact,PublicContact,internal,top_nav,,0,true,false,,,none,6921ede3f58a4222170c98f9,2025-11-22T17:07:47.687000,2025-11-22T17:07:47.687000,anonymous,anonymous,false
Latest news,PublicNews,internal,main_nav,6921eda6e3a3a5b4a86270f3,12,true,false,,,none,6921ee1e2aa26e5f707d8377,2025-11-22T17:08:46.906000,2025-11-24T10:22:19.792000,anonymous,anonymous,false
Press information,PublicNews,internal,main_nav,6921eda6e3a3a5b4a86270f3,12,true,false,,,none,6921ee2a676aac8876589bbc,2025-11-22T17:08:58.812000,2025-11-24T10:29:39.139000,anonymous,anonymous,false
Resources,PublicResources,internal,main_nav,691427a2f0209cd928e258fe,12,true,false,,,none,6921ee3e6912b2ca916e701f,2025-11-22T17:09:18.398000,2025-11-22T17:09:18.398000,anonymous,anonymous,false
All events,PublicEvents,internal,main_nav,691427a2f0209cd928e258fd,0,true,false,,,none,6921ee7f3023f6a02eeeff13,2025-11-22T17:10:23.751000,2025-11-25T11:30:30.455000,anonymous,anonymous,false
Awards,testpage,internal,main_nav,691427a2f0209cd928e258fd,1,true,false,,,none,6921ee8f2fbe30054a7a35f1,2025-11-22T17:10:39.824000,2025-11-25T11:30:31.134000,anonymous,anonymous,false
Academic Employability Awards,testpage,internal,main_nav,6921ee8f2fbe30054a7a35f1,7,true,false,,,none,6923f358f8742a1da4dbf563,2025-11-24T05:55:36.704000,2025-11-24T05:55:36.704000,anonymous,anonymous,false
Excellence Awards,testpage,internal,main_nav,6921ee8f2fbe30054a7a35f1,7,true,false,,,none,6923f366840a674f98efc763,2025-11-24T05:55:50.255000,2025-11-24T05:55:50.255000,anonymous,anonymous,false
targetjobs Award,testpage,internal,main_nav,6921ee8f2fbe30054a7a35f1,7,true,false,,,none,6923f372814e015282edec91,2025-11-24T05:56:02.117000,2025-11-24T05:56:02.117000,anonymous,anonymous,false
Connect,testpage,internal,main_nav,691427a2f0209cd928e258fd,2,true,false,,,none,69259250aec4e0372f55e9ae,2025-11-25T11:26:08.444000,2025-11-25T11:30:31.410000,anonymous,anonymous,false
Quality,testpage,internal,main_nav,6921ea61080d15e48acc6a11,1,true,false,,,none,6925927936b1744a1a61b4c1,2025-11-25T11:26:49.876000,2025-11-25T11:30:24.173000,anonymous,anonymous,false
Member benefits,testpage,internal,main_nav,6921ea61080d15e48acc6a11,0,true,false,,,none,692592a1e3bcfbf5822369a0,2025-11-25T11:27:29.822000,2025-11-25T11:30:23.636000,anonymous,anonymous,false
