title,slug,author_id,author_name,summary,content,feature_image_url,subcategories,tags,status,published_date,seo_title,seo_description,id,created_date,updated_date,created_by_id,created_by,is_sample
Christmas Party,christmas-party,68f26c073c795ca5818bfcd7,Mat Henderson,Staff Christmas party announced....,<p>News blurb goes in here.</p>,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/804fdc814_festive-christmas-party-with-guests-celebrating-and-toasting-photo.jpeg,"[""New events""]","[]",published,2025-11-18T10:57:26.279Z,,,691c5255067b3596064955d8,2025-11-18T11:02:45.886000,2025-11-18T11:02:53.417000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Member Spotlight: Innovation in Careers Education at University of Leeds,member-spotlight-university-leeds-innovation,,,Discover how the University of Leeds Careers Centre has implemented a cutting-edge peer mentoring programme that's transforming student engagement.,"<p>In our latest member spotlight, we speak with Sarah Thompson, Director of Careers at the University of Leeds, about their innovative peer mentoring initiative.</p><p>Launched in September 2024, the programme pairs final-year students with first and second-year students to provide authentic career insights and guidance.</p><p>Results have been impressive: 92% of participants reported increased confidence in their career planning, and engagement with careers services has risen by 35%.</p><p>The Leeds team will be presenting their approach at the Annual Conference in June.</p>",https://images.unsplash.com/photo-1523050854058-8df90110c9f1?w=800,"[""Member Stories"",""Best Practice""]","[""member spotlight"",""innovation"",""peer mentoring"",""student engagement""]",published,2025-01-03T09:30:00Z,,,691c692481f0dda8047002f2,2025-11-18T12:40:04.907000,2025-11-21T11:14:39.238000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Annual Careers Conference 2025 Announced,annual-careers-conference-2025-announced,,,Join us for our flagship event bringing together careers professionals from across the UK to share insights and best practices.,"<p>We're excited to announce that the Annual Careers Conference 2025 will take place on June 15-16, 2025 at the Manchester Conference Centre.</p><p>This year's theme is 'Empowering Futures: Innovation in Careers Guidance' and will feature keynote speakers from leading universities and industry experts.</p><p>Early bird tickets are now available for AGCAS members.</p>",https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800,"[""Events"",""Professional Development""]","[""conference"",""2025"",""careers guidance""]",published,2025-01-15T09:00:00Z,,,691c692481f0dda8047002ee,2025-11-18T12:40:04.907000,2025-11-18T12:40:04.907000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
New Research: Impact of AI on Graduate Recruitment,new-research-impact-ai-graduate-recruitment,,,Our latest research explores how artificial intelligence is transforming the graduate recruitment landscape and what it means for careers services.,"<p>AGCAS has published groundbreaking research examining the role of AI in graduate recruitment processes.</p><p>The study, conducted over 12 months with participation from 50+ universities, reveals significant trends in how employers are adopting AI tools for screening, assessment, and candidate engagement.</p><p>Key findings include a 45% increase in AI-powered application screening and emerging concerns about algorithmic bias.</p>",https://images.unsplash.com/photo-1677442136019-21780ecad995?w=800,"[""Research"",""Technology""]","[""AI"",""research"",""graduate recruitment"",""employability""]",published,2025-01-10T14:30:00Z,,,691c692481f0dda8047002ef,2025-11-18T12:40:04.907000,2025-11-18T12:40:04.907000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Partnership Announcement: Collaboration with National Apprenticeship Service,partnership-national-apprenticeship-service,,,AGCAS is proud to announce a new strategic partnership with the National Apprenticeship Service to enhance apprenticeship pathways for university students.,"<p>We're delighted to announce a new partnership with the National Apprenticeship Service (NAS) aimed at strengthening the bridge between higher education and apprenticeship opportunities.</p><p>This collaboration will provide AGCAS members with enhanced resources, training materials, and direct connections to help students explore degree apprenticeships and graduate apprenticeship schemes.</p><p>A joint webinar series will launch in February 2025.</p>",https://images.unsplash.com/photo-1560264280-88b68371db39?w=800,"[""Partnerships"",""News""]","[""partnership"",""apprenticeships"",""collaboration""]",published,2025-01-05T11:00:00Z,,,691c692481f0dda8047002f1,2025-11-18T12:40:04.907000,2025-11-18T12:40:04.907000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Regional Training Workshops: Spring 2025 Schedule,regional-training-workshops-spring-2025,,,"Book your place at our regional training workshops covering essential skills for careers professionals across England, Scotland, Wales, and Northern Ireland.","<p>Our Spring 2025 regional training programme is now open for bookings!</p><p>Workshops will cover topics including:</p><ul><li>Supporting neurodivergent students</li><li>Enhancing employer engagement strategies</li><li>Career guidance in the age of AI</li><li>Mental health and wellbeing in careers services</li></ul><p>Sessions will run from March through May in Birmingham, Edinburgh, Cardiff, and Belfast.</p>",https://images.unsplash.com/photo-1552664730-d307ca884978?w=800,"[""Training"",""Events""]","[""training"",""workshops"",""CPD"",""spring 2025""]",published,2025-01-08T10:00:00Z,,,691c692481f0dda8047002f0,2025-11-18T12:40:04.907000,2025-11-18T12:40:04.907000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Our response to the Post-16 Education and Skills White Paper,post-16-white-paper,68fb370f70dcd22b7151ff7b,Jeremy Swan,Our response to the Post-16 Education and Skills White Paper,"<blockquote><strong>Following the publication of the Post-16 Education and Skills White Paper, Martin Edmondson, Chief Executive of the Association of Graduate Careers Advisory Services (AGCAS) said:</strong>&nbsp;</blockquote><p><br></p><p>“We welcome the Government’s recognition of the huge potential of our universities to drive economic growth, deliver a pipeline of critical skills, and break down barriers to opportunity. Demand for higher-level skills is only set to grow, and we support the ambition for universities to play an even greater role in meeting the local and regional skills needs that underpin the UK’s economic success.&nbsp;</p><p><br></p><p>“As we tackle global challenges and embrace rapid technological change, higher education has a central role in equipping people with the skills, adaptability, and innovation needed for the future. To achieve this, high-quality careers guidance and work-integrated learning must feature throughout the student journey, ensuring opportunities are open to people from all backgrounds and career stages.&nbsp;</p><p><br></p><p>“University careers and employability teams are critical to this mission. Their professional expertise should be at the heart of shaping institutional strategy on employability, supported by adequate resourcing and close collaboration with academic colleagues. Employability strategies that combine professional insight with academic specialism are vital to producing graduates ready to thrive in the modern economy. Employability experts are also vital in building local partnerships to ensure that regions develop the right mix of skills pipelines.&nbsp;</p><p><br></p><p>“Across the sector, universities are already making great strides in this space. We see this demonstrated in the achievements recognised through our annual&nbsp;<a href=""https://www.agcas.org.uk/aea26"" rel=""noopener noreferrer"" target=""_blank"" style=""color: gray;"">Academic Employability Awards</a>. These examples showcase what’s possible when institutions invest in employability, actively develop skills in curriculum, collaborate with employers, and empower their students to connect learning with real-world opportunities.”&nbsp;</p>",,"[]","[]",published,2025-10-21T10:15:00.000Z,Our response to the Post-16 White Paper,Our response to the Post-16 Education and Skills White Paper,69204a09bf579bb673c1489f,2025-11-21T11:16:25.052000,2025-11-21T13:21:51.733000,anonymous,anonymous,false
AGCAS response to the Department for Business and Trade consultation on unpaid internships,consultation-on-unpaid-internships,68fb370f70dcd22b7151ff7b,Jeremy Swan,Our response to the Department for Business and Trade consultation on Making Work Pay: unpaid internships,"<p>We recently responded to the Department for Business and Trade consultation on&nbsp;<a href=""https://www.gov.uk/government/calls-for-evidence/making-work-pay-call-for-evidence-on-unpaid-internships"" rel=""noopener noreferrer"" target=""_blank"" style=""color: gray;""><strong>Making Work Pay: unpaid internships</strong></a><strong>.&nbsp;</strong>You can find the full response&nbsp;<a href=""https://www.agcas.org.uk/write/MediaUploads/Resources/AGCASresponsetoMakingWorkPay.pdf"" rel=""noopener noreferrer"" target=""_blank"" style=""color: gray;"">here</a>, but in summary we welcome the Government’s focus on fair and inclusive work experience. We strongly support payment for internships that are not part of an accredited course and call for clearer definitions, consistent terminology, and targeted reform of student placement rules.</p><p><br></p><p>The key points are:</p><ul><li><strong>Internships</strong>&nbsp;should be defined in legislation and paid at least the National Minimum Wage if not part of a course.</li><li><strong>Transparency</strong>&nbsp;must be required: employers should state pay status and opportunity type in all adverts.</li><li><strong>Short unpaid tasters</strong>&nbsp;may be appropriate only where truly observational, short in duration, and with informed consent.</li><li><strong>Mandatory student placements</strong>&nbsp;should retain limited exemptions but with clearer boundaries and safeguards; nuanced reforms such as duration-based or apprenticeship-rate models are preferred to outright removal.</li><li><strong>Volunteering</strong>&nbsp;and&nbsp;<strong>work shadowing</strong>&nbsp;should be clearly distinguished from internships to avoid legal ambiguity and visa risks.</li><li><strong>Social mobility</strong>&nbsp;must be central: unpaid internships exclude those without financial means.</li><li><strong>Government should improve guidance and enforcement</strong>, ensuring plain-English communications and better public understanding of rights.</li></ul><p><br></p><p>Thanks to our members who helped shape our response to the consultation. We were also guided by the AGCAS Work Experience Standard, you can read&nbsp;<a href=""https://www.agcas.org.uk/the-work-experience-standard"" rel=""noopener noreferrer"" target=""_blank"" style=""color: gray;"">here</a></p><p><br></p><p>We will be closely following government updates on this and will share the news with members as soon as we can.</p>",,"[]","[]",published,2025-10-14T12:19:00.000Z,,,69206742fb270a3cd579c83d,2025-11-21T13:21:06.042000,2025-11-21T13:21:13.848000,anonymous,anonymous,false
AGCAS publish new Uncovering Skills report and announce launch webinar,agcas-publish-new-uncovering-skills-report-and-announce-launch-webinar,68f320f9352d14ef0de61812,Sharon Bacon,"AGCAS are proud to launch our Uncovering Skills report today, supported by Symplicity.

","<p>AGCAS are proud to launch our Uncovering Skills report today, supported by Symplicity.</p><p><br></p><p>With the recently published Post-16 Education and Skills White Paper recognising that high-quality careers guidance and work experience are crucial in harnessing the talents of young people from all backgrounds, this new report has brought timely and critical debate to this key area.</p><p><br></p><p>Drawing on three AGCAS datasets, national focus groups, and earlier research, this report highlights the importance of recognising the full range of skills students develop - beyond the academic setting - to help boost graduate employability. These insights are especially relevant for those who work with students and graduates who find it challenging to explain how their broader experiences connect to career readiness.</p><p><br></p><p>You can get more information and read the full report via the first link below and you can sign up to our launch webinar on this topic via the second link below.</p>",https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/2a099a351_uncoveringskills1.jpg,"[]","[]",published,2025-10-23T14:21:00.000Z,,,6921d520a6fee25d89182694,2025-11-22T15:22:08.215000,2025-11-22T15:23:33.099000,anonymous,anonymous,false
Scottish Careers week: Edinburgh university careers advisor helps student secure prestigious NHS job,scottish-careers-week-edinburgh-university-careers-advisor-helps-student-secure-prestigious-nhs-job,68fa25fab0e8760323ad72b8,Erica Imhof,"It’s Scottish Careers Week (10–14 November 2025), and we’re celebrating the fantastic activity happening across our Scottish member institutions. We’re also highlighting a new case study from Edinburgh Napier University, featuring careers adviser Karolina Green and her support for student Eve, who has secured a prestigious role in the NHS.","<p>It's Scottish Careers Week this week, 10 - 14 November 2025. We know lots of our members in Scotland have interesting events going through the week to mark this and we'll be sharing social media content throughout the week to celebrate this.</p><p><br></p><p>We are also pleased to share a new case study from Edinburgh Napier University, about careers advisor Karolina Green who supported student Eve to secure a prestigious role in the NHS. You can read about this via the link below.</p>",https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/903b15f14_kgreen-Copy.jpg,"[]","[]",published,2025-11-10T18:30:00.000Z,,,6925f67db042e774e4bdd220,2025-11-25T18:33:33.216000,2025-11-25T18:33:43.758000,anonymous,anonymous,false
